From,To,Matched Items,Distance (km)
Praise Export Services Limited,Soap Production Company- Private,oil waste,12.05
Praise Export Services Limited,Safisana Ghana Limited,food waste,24.93
Nkulenu Industries,Soap Production Company- Private,oil waste,0.27
Buck Press Limited,Ferro Fabrik Limited,aluminium scraps,29.44
Buck Press Limited,B5 Plus Steel Limited,aluminium scraps,31.22
Buck Press Limited,Aluworks Limited,aluminium scraps,31.6
Buck Press Limited,Crocodile Machete (Ghana Limited),aluminium scraps,28.73
Buck Press Limited,Rider Steel Ghana Limited,aluminium scraps,31.39
Buck Press Limited,Tema Steel Company Limited,aluminium scraps,28.65
Buck Press Limited,Sentuo Steel Company Limited,aluminium scraps,30.32
Buck Press Limited,Volta Aluminium Company Limited,aluminium scraps,30.87
Buck Press Limited,Star Steel,aluminium scraps,40.12
Blowchem Industries,Blowplast Recycling,wastewater,2.32
Ferro Fabrik Limited,B5 Plus Steel Limited,slag,5.32
Wad African Foods Limited,Safisana Ghana Limited,food waste,35.12
Aluworks Limited,Ferro Fabrik Limited,slag,2.35
Aluworks Limited,B5 Plus Steel Limited,slag,4.27
Chanrai Brand Limited,Blowplast Recycling,wastewater,8.26
Chanrai Brand Limited,Soap Production Company- Private,oil waste,19.9
Crocodile Machete (Ghana Limited),Ferro Fabrik Limited,"steel scraps, aluminium scraps",0.7
Crocodile Machete (Ghana Limited),B5 Plus Steel Limited,"steel scraps, aluminium scraps",5.52
Crocodile Machete (Ghana Limited),Aluworks Limited,aluminium scraps,3.0
Crocodile Machete (Ghana Limited),Rider Steel Ghana Limited,aluminium scraps,4.56
Crocodile Machete (Ghana Limited),Tema Steel Company Limited,"steel scraps, aluminium scraps",2.91
Crocodile Machete (Ghana Limited),Fabrimetal Ghana Limited,"steel scraps, aluminium scraps",27.73
Crocodile Machete (Ghana Limited),Sentuo Steel Company Limited,"steel scraps, aluminium scraps",1.65
Crocodile Machete (Ghana Limited),Volta Aluminium Company Limited,"steel scraps, aluminium scraps",2.16
Crocodile Machete (Ghana Limited),Star Steel,"steel scraps, aluminium scraps",13.4
Alutrade,Ferro Fabrik Limited,aluminium scraps,28.09
Alutrade,B5 Plus Steel Limited,aluminium scraps,31.52
Alutrade,Aluworks Limited,aluminium scraps,30.44
Alutrade,Crocodile Machete (Ghana Limited),aluminium scraps,27.45
Alutrade,Rider Steel Ghana Limited,aluminium scraps,31.24
Alutrade,Tema Steel Company Limited,aluminium scraps,28.45
Alutrade,Sentuo Steel Company Limited,aluminium scraps,29.09
Alutrade,Volta Aluminium Company Limited,aluminium scraps,29.55
Alutrade,Star Steel,aluminium scraps,40.48
Accra Breweries Limited,Livestock farmers,spent grain,14.54
Guiness Ghana Breweries Limited,Livestock farmers,spent grain,14.49
Livestock farmers,Sewerage Systems Ghana Limited,faecal matter,14.46
Livestock farmers,Safisana Ghana Limited,faecal matter,36.16
Logs & Lumber Limited,Sokoban Wood Village,logs,5.65
Logs & Lumber Limited,Specialised Timber Limited,logs,3.15
Rider Steel Ghana Limited,Ferro Fabrik Limited,slag,4.25
Rider Steel Ghana Limited,B5 Plus Steel Limited,slag,1.3
Tema Steel Company Limited,Ferro Fabrik Limited,slag,3.06
Tema Steel Company Limited,B5 Plus Steel Limited,slag,3.19
Fabrimetal Ghana Limited,Ferro Fabrik Limited,slag,27.17
Fabrimetal Ghana Limited,B5 Plus Steel Limited,slag,23.25
Sentuo Steel Company Limited,Ferro Fabrik Limited,slag,1.0
Sentuo Steel Company Limited,B5 Plus Steel Limited,slag,4.7
Volta Aluminium Company Limited,Ferro Fabrik Limited,slag,1.47
Volta Aluminium Company Limited,B5 Plus Steel Limited,slag,4.8
Star Steel,Ferro Fabrik Limited,slag,12.87
Star Steel,B5 Plus Steel Limited,slag,9.04
Specialised Timber Limited,Logs & Lumber Limited,logs,3.15
Specialised Timber Limited,Sokoban Wood Village,logs,2.52
GIHOC Distilleries Company Limited,Livestock farmers,spent grain,14.07
Cargill Ghana Limited,Soap Production Company- Private,cocoa shell,19.8
Niche Cocoa Processing,Soap Production Company- Private,cocoa shell,21.1
Cocoa Processing Company Limited,Soap Production Company- Private,cocoa shell,19.21
Afrotropic Cocoa Processing Company Limited,Soap Production Company- Private,cocoa shell,8.61
3F Ghana Limited,Soap Production Company- Private,oil waste,20.33
Ghana Specialty Fats Industry Limited,Soap Production Company- Private,oil waste,20.08
Ghana Specialty Fats Industry Limited,3F Ghana Limited,palm kennel shell,0.32
Ghana Specialty Fats Industry Limited,Wilmar Africa Limited,palm kennel shell,24.04
Wilmar Africa Limited,Soap Production Company- Private,oil waste,8.85
Wilmar Africa Limited,3F Ghana Limited,palm kennel shell,24.21
Wilmar Africa Limited,Ghana Specialty Fats Industry Limited,palm kennel shell,24.04
Norpalm Ghana Limited,Benso Oil Palm Plantation Limited,palm kennel shell,19.99
Benso Oil Palm Plantation Limited,Norpalm Ghana Limited,palm kennel shell,19.99
Ghana Nuts Company Limited,Fuji Oil Ghana Limited,palm kennel shell,0.16
Fuji Oil Ghana Limited,Ghana Nuts Company Limited,palm kennel shell,0.16
